reference_number,title,journal,year,authors,ANOVA_used,design_used,assumptions_check,which_assumptions_checked,transformation_used,type_of_transformation,motivation,reassessment_assumptions,interpretation_scala,study_element,jcr_impact_factor,status,discard_reason
85,Surgical dexterity after a 'night out on the town'    ,,,,,,,,,,,,,,,discarded,medicine
86,Evaluation of Data Transformations and Validation of aSpatial Model for Spatial Dependency of Trialeurodes vaporariorum Populations in a Cherry Tomato Greenhouse,,,,,,,,,,,,,,,discarded,did not perform variance analysis
87,Examining the roles of child temperament and teacher-child relationships as predictors of Turkish children’s social competence and antisocial behavior,,,,,,,,,,,,,,,discarded,psychology
88,Statistical Analysis of Functional N euroimaging Data: Exploratory Versus Inferential Methods,,,,,,,,,,,,,,,discarded,did not perform variance analysis
89,"Global Research Alliance N2O chamber methodology guidelines: Statistical considerations, emission factor calculation, and data reporting    ",,,,,,,,,,,,,,,discarded,did not perform variance analysis
90,Accurate estimation of prediction models for operator-induced defects in assembly manufacturing processes,,,,,,,,,,,,,,,discarded,did not perform variance analysis
91,Cathodal tDCS increases stop-signal reaction time,,,,,,,,,,,,,,,discarded,medicine
92,"The effects of acute exercise on visuomotor adaptation, learning, and inter-limb transfer",,,,,,,,,,,,,,,discarded,medicine
93,Prediction intervals for the original response when using Manly's exponential transformations,,,,,,,,,,,,,,,discarded,did not perform variance analysis
94,Multivariate Analysis of Multiple Datasets: a Practical Guide for Chemical Ecology,,,,,,,,,,,,,,,discarded,did not perform variance analysis
95,Choice of analysis pathway dramatically affects statistical outcomes in breaking continuous flash suppression,,,,,,,,,,,,,,,discarded,medicine
96,Quality-productivity decision making when turning of Inconel 718 aerospace alloy: A response surface methodology approach,,,,,,,,,,,,,,,discarded,mechanics
97,"Using the Gamma Generalized Linear Model for Modeling Continuous, Skewed and Heteroscedastic Outcomes in Psychology",,,,,,,,,,,,,,,discarded,psychology
98,Analyzing Proportion Scores as Outcomes for Prevention Trials: a Statistical Primer    ,,,,,,,,,,,,,,,discarded,public health
99,A modern guide to preliminary data analysis and data cleansing in Behavioural Accounting Research,,,,,,,,,,,,,,,discarded,did not perform variance analysis
100,Multivariate correlation among resilient modulus and cone penetration test parameters of cohesive subgrade soils,,,,,,,,,,,,,,,discarded,did not perform variance analysis
101,Sucessful emotions,,,,,,,,,,,,,,,discarded,book
102,To transform or not to transform: using generalized linear mixed models to analyse reaction time data,,,,,,,,,,,,,,,discarded,psychology
103,A Prediction Interval Estimator for the Original Response When Using Box–Cox Transformations,,,,,,,,,,,,,,,discarded,did not perform variance analysis
104,Drug versus sweet reward: greater attraction to and preference for sweet versus drug cues,,,,,,,,,,,,,,,discarded,medicine
105,Improved Bayesian Multi-modeling: Integration of Copulas and Bayesian,,,,,,,,,,,,,,,discarded,did not perform variance analysis
106,Ethical Context and Ethical Decision Making: Examination of an Alternative Statistical Approach for Identifying Variable Relationships,,,,,,,,,,,,,,,discarded,sociology
107,Robust Parameter Design of an EDM Process,,,,,,,,,,,,,,,discarded,simulation study
108,Reading Aloud: Does Previous Trial History Modulate the Joint Effects of Stimulus Quality and Word Frequency?,,,,,,,,,,,,,,,discarded,psychology
109,Improving finger coordination in young and elderly persons,,,,,,,,,,,,,,,discarded,medicine
110,Box–Cox transformation and random regression models for fecal egg count data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
111,"Testing the Significance of a Correlation With Nonnormal Data: Comparison of Pearson, Spearman, Transformation, and Resampling Approache",,,,,,,,,,,,,,,discarded,did not perform variance analysis
112,Detecting and cleaning outliers for robust estimation of variogram models in insect count data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
113,The Box-Cox power transformation on nursing sensitive indicators: Does it matter if structural effects are omitted during the estimation of the transformation parameter?,,,,,,,,,,,,,,,discarded,medicine
114,The effects of EEG data transformations on the solution accuracy of principal component analysis,,,,,,,,,,,,,,,discarded,did not perform variance analysis
115,An integrated fuzzy regression algorithm for improved electricity consumption estimation,,,,,,,,,,,,,,,discarded,did not perform variance analysis
116,The interpretation of geochemical survey data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
117,BATCH EFFECTS AND NOISE IN MICROARRAY EXPERIMENTS,,,,,,,,,,,,,,,discarded,book
118,An evaluation framework for statistical tests on microarray data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
119,The logarithmic transformation should be avoided for stabilising the variance of mould growth rate,,,,,,,,,,,,,,,discarded,did not perform variance analysis
120,"Microarray Data Analysis: General Concepts, Gene Selection, and Classification    ",,,,,,,,,,,,,,,discarded,did not perform variance analysis
121,Numerical transformation of geochemical data: 1. Maximizing geochemical contrast to facilitate information extraction and improve data presentation    ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
122,More Powerful Tests of Predictor Subsets in Regression Analysis Under Nonnormality,,,,,,,,,,,,,,,discarded,did not perform variance analysis
123,Tobacco use in popular movies during the past decade,,,,,,,,,,,,,,,discarded,medicine
124,EEG Characteristics Prior to and Following the Evoked K-Complex,,,,,,,,,,,,,,,discarded,medicine
125,Heterogeneity of Variance in Clinical Data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
126,Exact testing in multivariate regression,,,,,,,,,,,,,,,discarded,did not perform variance analysis
127,ANALYZING TRACE-LEVEL PLUTONLWM MEASUREMENTS: A CASE STUDY IN DATA TRANSFORMATIONS,,,,,,,,,,,,,,,discarded,did not perform variance analysis
128,Assessment of concentrations of beet necrotic yellow vein virus by enzyme-linked immunosorbent assay,,,,,,,,,,,,,,,discarded,did not perform variance analysis
129,THE RELATIONSHIP BETWEEN MEAN AND STANDARD DEVIATION IN PRECIPITATION CHEMISTRY MEASUREMENTS ACROSS EASTERN NORTH AMERICA,,,,,,,,,,,,,,,discarded,did not perform variance analysis
130,Insensitivity of the analysis of variance to heredity-environment interaction    ,,,,,,,,,,,,,,,discarded,psychology
131,"MODEL BUILDING IN CHEMISTRY, A UNIFIED APPROACH",,,,,,,,,,,,,,,discarded,did not perform variance analysis
132,Investigations into parametric analysis of data from in vivo micronucleus assays by comparison with non-parametric methods,,,,,,,,,,,,,,,discarded,did not perform variance analysis
133,Statistical approach for comparison between methods of bacterial enumeration in drinking water,,,,,,,,,,,,,,,discarded,did not perform variance analysis
134,Comparison of Statistical Methods for Pretest-Posttest Designs in Terms of Type I Error Probability and Statistical Power    ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
135,Statistical Analysis of Functional N euroimaging Data: Exploratory Versus Inferential Methods,,,,,,,,,,,,,,,discarded,did not perform variance analysis
136,"Influence of support on intra-abdominal pressure, hepatic kinetics of indocyanine green and extravascular lung water during prone positioning in patients with ARDS: a randomized crossover study",,,,,,,,,,,,,,,discarded,medicine
137,Fitting Straight Lines with Replicated Observations by Linear Regression. IV. Transforming Data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
138,LONGITUDINAL STUDY OF RELATIONS BETWEEN HUMAN SALIVARY ANTIMICROBIAL PROTEINS AND MEASURES OF DENTAL PLAQUE ACCUMULATION AND COMPOSITION,,,,,,,,,,,,,,,discarded,medicine
139,Characterization of Partial Resistance to Black Spot Disease of Rosa sp.,,,,,,,,,,,,,,,discarded,did not perform variance analysis
140,Adaptive Box-Cox Transformation: A Highly Flexible Feature-Specific Data Transformation to Improve Metabolomics Data Normality for Better Statistical Analysis,,,,,,,,,,,,,,,discarded,did not perform variance analysis
141,An Alternative Data Transformation Approach for ADA Cut Point Determination: Why Not Use a Weibull Transformation?,,,,,,,,,,,,,,,discarded,did not perform variance analysis
142,Analysis of Particulate Matter (PM10) Behavior in the Caribbean Area Using a Coupled SARIMA-GARCH Model    ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
143,"DESIGNING EXPERIMENTS AND ANALYZING DATA: A Model Comparison Perspective, Third Edition    ",,,,,,,,,,,,,,,discarded,book
144,Design of EWMA control chart for monitoring transformed Rayleigh distributed data,,,,,,,,,,,,,,,discarded,did not perform variance analysis
145,Differences in Race Characteristics between World-Class Individual-Medley and Stroke-Specialist Swimmers,,,,,,,,,,,,,,,discarded,physical education
146,Econometric analysis of model selection and model testing    ,,,,,,,,,,,,,,,discarded,book
147,Genetic variability of meat quality characteristics in Japanese quail (Coturnix coturnix japonica),,,,,,,,,,,,,,,discarded,did not perform variance analysis
148,Improving your data transformations: Applying Box-Cox transformations as a best practice,,,,,,,,,,,,,,,discarded,did not perform variance analysis
149,TAX RATE TO MAXIMIZE THE REVENUE: LAFFER CURVE FOR THE CZECH REPUBLIC,,,,,,,,,,,,,,,discarded,did not perform variance analysis
150,"SPEED Stat: a free, intuitive, and minimalist spreadsheet program for statistical analyses of experiments    ",,,,,,,,,,,,,,,discarded,did not perform variance analysis
151,Statistical analysis of pharmacokinetic data with special applications to bioequivalence studies,,,,,,,,,,,,,,,discarded,did not perform variance analysis
152,"Positional discrepancy, psychological discrepancy, and attitude change: Experimental tests of some mathematical models",,,,,,,,,,,,,,,discarded,psychology
153,"Research design and statistical analysis, third edition    ",,,,,,,,,,,,,,,discarded,book
154,"Similarity, classification and diversity “an Eternal Golden Braid” in quantitative vegetation studies    ",,,,,,,,,,,,,,,discarded,did not perform variance analysis
155,Pre-service teachers' understanding of culture in multicultural,,,,,,,,,,,,,,,discarded,It's not agrarian
156,"Benthic community resilience in two differently impacted tropical
estuaries: Taxonomic vs functional approaches",,,,,,,,,,,,,,,discarded,It's not agrarian
157,"Hierarchical regression models for dendroclimatic standardization and
climate reconstruction",,,,,,,,,,,,,,,discarded,It's not agrarian
158,"Central composite design application in the optimization of the effect of
waste foundry sand on concrete properties using RSM ",,,,,,,,,,,,,,,discarded,It's not agrarian
159,The Robustness of the Modified H-Statistic in the Test of Comparing Independent Groups,,,,,,,,,,,,,,,discarded,It's not agrarian
160,Stress-Reducing Effects of Playing a Casual Video Game among Undergraduate Students,,,,,,,,,,,,,,,discarded,It's not agrarian
161,Preserving Colias myrmidone in European cultural landscapes: requirements for the successful development from egg to higher larval stages at a Natura 2000 site in Romania,,,,,,,,,,,,,,,discarded,It's not agrarian
162,Drivers of reef fish assemblages in an upwelling region from the Eastern Tropical Pacific Ocean,,,,,,,,,,,,,,,discarded,It's not agrarian
163,Assessing environmental pollution levels in marinas,,,,,,,,,,,,,,,discarded,It's not agrarian
164,Chemical analysis and classification of black pepper (Piper nigrum L.) based on their country of origin using mass spectrometric methods and chemometrics ,,,,,,,,,,,,,,,discarded,did not perform variance analysis
165,Assessing aboveground carbon storage capacity in bamboo plantations with various species related to its affecting factors across Taiwan,,,,,,,,,,,,,,,discarded,Does not perform data transformation
166,"Tobacco Use Depictions in Popular Soviet and
Post-Soviet Movies from 1950 to 2019: The Possible
Impact of Restrictive Policies
",,,,,,,,,,,,,,,discarded,It's not agrarian
167,Spatio-Temporal Variability of Anthropogenic and Natural Wrack Accumulations along the Driftline: Marine Litter Overcomes Wrack in the Northern Sandy Beaches of Portugal,,,,,,,,,,,,,,,discarded,It's not agrarian
168,"Spectrophotometric Analysis of Coronal Tooth Discoloration Induced by Tricalcium
Silicate Cements in the Presence of Blood
",,,,,,,,,,,,,,,discarded,It's not agrarian
169,"You must choose, but choose wisely: Model-based approaches for microbial
community analysis",,,,,,,,,,,,,,,discarded,It's not agrarian
170,"Occurrence and abundance of meso and microplastics in sediment, surface waters, and marine biota from the South Pacific region",,,,,,,,,,,,,,,discarded,It's not agrarian
171,Quantification of Scheduling Impact on Safety and Efficacy Outcomes of Brain Metastasis Radio- and Immuno-Therapies: A Systematic Review and Meta-Analysi,,,,,,,,,,,,,,,discarded,It's not agrarian
172,Applications of weighted association networks applied to compositional data in biology,,,,,,,,,,,,,,,discarded,It's not agrarian
173,Evaluating Spatiotemporal Resolution of Trace Element Concentrations and Pb Isotopic Compositions of Honeybees and Hive Products as Biomonitors for Urban Metal Distribution,,,,,,,,,,,,,,,discarded,It's not agrarian
174,Morphological and genetic characterization of Mount Kenya brush-furred rats (Lophuromys Peters 1874); relevance to taxonomy and ecology,,,,,,,,,,,,,,,discarded,It's not agrarian
175,Optimizing machining parameters of carbon steel EN24 to minimize surface roughness and tool wear,,,,,,,,,,,,,,,discarded,It's not agrarian
176,Uncovering traits in recovering grasslands: A functional assessment of oil and gas well pad reclamation,,,,,,,,,,,,,,,discarded,It's not agrarian
177,Statistical modeling methods: challenges and strategies,,,,,,,,,,,,,,,discarded,It's not agrarian
178,Attention-Grabbing Power of Branded vs. Unbranded Packaging,,,,,,,,,,,,,,,discarded,It's not agrarian
179,Linguistic indirectness in parent–preschooler reminiscing about emotion‐related events: Links with emotion regulation and psychosocial adjustment,,,,,,,,,,,,,,,discarded,It's not agrarian
180,Optimization of the taxonomic resolution of an indicator taxon for costeffective ecological monitoring: Perspectives from a heterogeneous tropical coastline,,,,,,,,,,,,,,,discarded,It's not agrarian
181,Spatial patterns of macrobenthic alpha and beta diversity at different scales in Italian transitional waters (central Mediterranean),,,,,,,,,,,,,,,discarded,It's not agrarian
182,"Do Athletes Imagine Being the Best, or Crossing the Finish Line First? A Mixed Methods Analysis of Construal Levels in Elite Athletes’ Spontaneous Imagery",,,,,,,,,,,,,,,discarded,It's not agrarian
183,Brazilian red propolis reduces orange-complex periodontopathogens growing in multispecies biofilms,,,,,,,,,,,,,,,discarded,It's not agrarian
184,Early Optic Nerve Head Glial Proliferation and Jak-Stat Pathway Activation in Chronic Experimental Glaucoma,,,,,,,,,,,,,,,discarded,It's not agrarian
185,Invertibility of the dual energy x-ray data transform,,,,,,,,,,,,,,,discarded,It's not agrarian
186,No lexical competition without priming: Evidence from the picture–word interference paradigm,,,,,,,,,,,,,,,discarded,It's not agrarian
187,"Characterising the invertebrate megafaunal assemblages of a deep-sea (200-3000 m) frontier region for oil and gas exploration: the Great Australian Bight, Australia",,,,,,,,,,,,,,,discarded,It's not agrarian
188,Preserved but Less Efficient Control of Response Interference After Unilateral Lesions of the Striatum,,,,,,,,,,,,,,,discarded,It's not agrarian
189,Statistical evaluation of the geochemical variability in overbank sediments in Spain,,,,,,,,,,,,,,,discarded,It's not agrarian
190,Temperament and characteristics related to nomophobia,,,,,,,,,,,,,,,discarded,It's not agrarian
191,Experimental design and analysis and their reporting II: updated and simplified guidance for authors and peer reviewers,,,,,,,,,,,,,,,discarded,It's not agrarian
192,FACTOR MODELS AND TIME-VARYING PARAMETER FRAMEWORK FOR FORECASTING EXCHANGE RATES AND INFLATION: A SURVEY,,,,,,,,,,,,,,,discarded,It's not agrarian
193,Chapter 8: The Analysis of Combined Experiments,,,,,,,,,,,,,,,discarded,It's not agrarian
194,Count data in biology—Data transformation or model reformation?,,,,,,,,,,,,,,,discarded,It's not agrarian
195,Land use affected nutrient mass with minor impact on stoichiometry ratios in Pampean soils,,,,,,,,,,,,,,,discarded,did not perform variance analysis
196,Differences in magnitude and spatial extent of impact of tuna farming on benthic macroinvertebrate assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
197,A Guide to Robust Statistical Methods in Neuroscience,,,,,,,,,,,,,,,discarded,It's not agrarian
198,Clustering of RNA-Seq Samples: Comparison Study on Cancer Data,,,,,,,,,,,,,,,discarded,It's not agrarian
199,Assessing the spatial variation of functional diversity estimates based on dendrograms in phytoplankton communities ,,,,,,,,,,,,,,,discarded,It's not agrarian
200,Long-term decline of brown algal assemblages from southern Brazil under the influence of a nuclear power plant,,,,,,,,,,,,,,,discarded,It's not agrarian
201,Taxonomic and numerical sufficiency in depth- and salinitycontrolled marine paleocommunities,,,,,,,,,,,,,,,discarded,It's not agrarian
202,Modelling plankton ecosystems in the meta-omics era. Are we ready?,,,,,,,,,,,,,,,discarded,It's not agrarian
203,Rapid bioassessment of macroinvertebrate communities is suitable for monitoring the impacts of fish farm effluents,,,,,,,,,,,,,,,discarded,It's not agrarian
204,"Analysis of variance, normal quantile-quantile correlation and effective expression support of pooled expression ratio of reference genes for defining expression stability",,,,,,,,,,,,,,,discarded,It's not agrarian
205,Assessing the internal consistency of the event-related potential: An example analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
206,Enhancing predictive accuracy and reproducibility in clinical evaluation research,,,,,,,,,,,,,,,discarded,It's not agrarian
207,Linking educational leadership styles to the HR architecture for new teachers in primary education,,,,,,,,,,,,,,,discarded,It's not agrarian
208,Do handwritten words magnify lexical effects in visual-word recognition?,,,,,,,,,,,,,,,discarded,It's not agrarian
209,Corrigendum to “Reproductive and behavioral effects of diisononyl phthalate (DINP) in perinatally exposed rats”,,,,,,,,,,,,,,,discarded,It's not agrarian
210,Cognition and functioning in bipolar depression,,,,,,,,,,,,,,,discarded,It's not agrarian
211,Land use changes in an afrotropical biodiversity hotspot affect stream alpha and beta diversity,,,,,,,,,,,,,,,discarded,It's not agrarian
212,Are intertidal soft sediment assemblages affected by repeated oil spill events? A field-based experimental approach,,,,,,,,,,,,,,,discarded,It's not agrarian
213,Taxonomic sufficiency in a live-dead agreement study in a tropical settin,,,,,,,,,,,,,,,discarded,It's not agrarian
214,Co-occurrences of EDCs/PPCPs in Surface Water Using Chemometrics,,,,,,,,,,,,,,,discarded,It's not agrarian
215,Changes in Internal Variability Due to Anthropogenic Forcing: 2 A New Field Significance Test,,,,,,,,,,,,,,,discarded,It's not agrarian
216,27 Methodology,,,,,,,,,,,,,,,discarded,It's not an article
217,Within-day time-varying associations between behavioral cognitions and physical activity in adults,,,,,,,,,,,,,,,discarded,It's not agrarian
218,"THE USE OF STATISTICAL SOFTWARE IN FOOD SCIENCE AND TECHNOLOGY: ADVANTAGES, LIMITATIONS AND MISUSES",,,,,,,,,,,,,,,discarded,It's not agrarian
219,"Always Vote for Principle, Though You May Vote Alone: Explaining United States Political Support for Multilateral Development Loans",,,,,,,,,,,,,,,discarded,It's not agrarian
220,Heritable Environmental Variance Causes Nonlinear Relationships Between Traits: Application to Birth Weight and Stillbirth of Pigs,,,,,,,,,,,,,,,discarded,did not perform variance analysis
221,"Analysis of sampling methods of estuarine benthic macrofaunal assemblages: sampling gear, mesh size, and taxonomic resolution",,,,,,,,,,,,,,,discarded,It's not agrarian
222,Longitudinal variation and effects of habitat on biodiversity of Australasian temperate reef fishes,,,,,,,,,,,,,,,discarded,It's not agrarian
223,Title: Efficacy of free and nanoencapsulated Eucalyptus citriodora essential oils on sheep gastrointestinal nematodes and toxicity for mice,,,,,,,,,,,,,,,discarded,It's not agrarian
224,Impact of severe extracranial ICA stenosis on MRI perfusion and diffusion parameters in acute ischemic stroke,,,,,,,,,,,,,,,discarded,It's not agrarian
225,"Optimisation of net profit with uncertain inputs in manufacturing environments by integration of neural networks, genetic algorithm and fuzzy regression",,,,,,,,,,,,,,,discarded,It's not agrarian
226,Modified H-statistic with Adaptive Winsorized Mean in Two Groups Test,,,,,,,,,,,,,,,discarded,It's not agrarian
227,Leaf litter decomposition of native and introduced tree species of contrasting quality in headwater streams: How does the regional setting matter?,,,,,,,,,,,,,,,discarded,It's not agrarian
228,Testing the Predictive Validity of the GRE Exam on Communication Graduate Student Success: A Case Study at University at Buffalo,,,,,,,,,,,,,,,discarded,It's not agrarian
229,MINERALOGY OF EGYPTIAN BENTONITIC CLAYS I: DISCRIMINANT FUNCTION ANALYSIS,,,,,,,,,,,,,,,discarded,It's not agrarian
230,Spectral monitoring of two-spotted spider mite damage to pepper leaves,,,,,,,,,,,,,,,discarded,Does not perform data transformation
231,Geochemical mapping using stream sediments in west-central Nigeria: Implications for environmental studies and mineral exploration in West Africa,,,,,,,,,,,,,,,discarded,It's not agrarian
232,Field-based insights to the evolution of specialization: plasticity and fitness across habitats in a specialist/generalist species pair,,,,,,,,,,,,,,,discarded,It's not agrarian
233,Taxonomic relatedness does not matter for species surrogacy in the assessment of community responses to environmental drivers,,,,,,,,,,,,,,,discarded,It's not agrarian
234,Optimization of the processing parameters in melt blending of thermoplastic polyurethane and poly dimethyl siloxane rubber,,,,,,,,,,,,,,,discarded,It's not agrarian
235,Distance-based multivariate analyses confound location and dispersion effects,,,,,,,,,,,,,,,discarded,It's not agrarian
236,Influence of preoperative anxiety on hypotension after spinal anaesthesia in women undergoing Caesarean delivery,,,,,,,,,,,,,,,discarded,It's not agrarian
237,Using Eye-tracking and Mouse Metrics to Test Usability of Web Mapping Navigation,,,,,,,,,,,,,,,discarded,It's not agrarian
238,Long-term changes in North Adriatic soft-bottom polychaete assemblages following a dystrophic crisis,,,,,,,,,,,,,,,discarded,It's not agrarian
239,Toward a framework of integrated knowledge of terrestrial vegetation system: The role of databases of phytosociological releve´s,,,,,,,,,,,,,,,discarded,It's not agrarian
240,Soil Microbial Community Successional Patterns during Forest Ecosystem Restoration,,,,,,,,,,,,,,,discarded,It's not agrarian
241,Can similarity theory contribute to the development of a general theory of the plan?,,,,,,,,,,,,,,,discarded,It's not agrarian
242,The use of coarser taxonomy in the detection of long-term changes in polychaete assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
243,Social vision: Sustained perceptual enhancement of affective facial cues in social anxiety,,,,,,,,,,,,,,,discarded,It's not agrarian
244,"A hybrid fuzzy mathematical programming-design of experiment framework for improvement of energy consumption estimation with small data sets and uncertainty: The cases of USA, Canada, Singapore, Pakistan and Iran",,,,,,,,,,,,,,,discarded,It's not agrarian
245,When Can Information From Ordinal Scale Variables Be Integrated?,,,,,,,,,,,,,,,discarded,It's not agrarian
246,CHARACTERIZING SELECTION ON PHENOTYPIC PLASTICITY IN RESPONSE TO NATURAL ENVIRONMENTAL HETEROGENEITY,,,,,,,,,,,,,,,discarded,It's not agrarian
247,Adverse experiences in childhood influence brain responses to emotional stimuli in adult psychiatric patients,,,,,,,,,,,,,,,discarded,It's not agrarian
248,Heterotrimeric G proteins regulate reproductive trait plasticity in response to water availability,,,,,,,,,,,,,,,discarded,It's not agrarian
249,Measuring Homonegativity: A Psychometric Analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
250,A flexible fuzzy regression algorithm for forecasting oil consumption estimation,,,,,,,,,,,,,,,discarded,It's not agrarian
251,"Difficulties in separating hurricane induced effects from natural benthic succession: Hurricane Isabel, a case study from Eastern Virginia, USA",,,,,,,,,,,,,,,discarded,It's not agrarian
252,Taxonomic sufficiency in the detection of natural and human-induced changes in marine assemblages: A comparison of habitats and taxonomic groups,,,,,,,,,,,,,,,discarded,It's not agrarian
253,Understanding the consequences of seed dispersal in a heterogeneous environment,,,,,,,,,,,,,,,discarded,Does not identify the transformation
254,Variance estimate and taxonomic resolution: An analysis of macrobenthic spatial patterns at different scales in a Western Mediterranean coastal lagoon,,,,,,,,,,,,,,,discarded,It's not agrarian
255,Comparing efficacy of different taxonomic resolutions and surrogates in detecting changes in soft bottom assemblages due to coastal defence structures,,,,,,,,,,,,,,,discarded,It's not agrarian
256,Melatonin improves placental efficiency and birth weight and increases the placental expression of antioxidant enzymes in undernourished pregnancy,,,,,,,,,,,,,,,discarded,It's not agrarian
257,Effect of Subjective Preoperative Variables on Risk-Adjusted Assessment of Hospital Morbidity and Mortality,,,,,,,,,,,,,,,discarded,It's not agrarian
258,Early locomotor and social effects in vasopressin deficient neonatal rats,,,,,,,,,,,,,,,discarded,It's not agrarian
259,Preservation of spatial and environmental gradients by death assemblages,,,,,,,,,,,,,,,discarded,It's not agrarian
260,Performance of indicators and the effect of grain size in the discrimination of plant communities for restoration pu,,,,,,,,,,,,,,,discarded,Does not identify the transformation
261,Bone healing in critical-size defects treated with platelet-rich plasma activated by two different methods. A histologic and histometric study in rat calvaria,,,,,,,,,,,,,,,discarded,It's not agrarian
262,Effects of a brine discharge over soft bottom Polychaeta assemblage,,,,,,,,,,,,,,,discarded,It's not agrarian
263,Impacts of a woody invader vary in different vegetation communities,,,,,,,,,,,,,,,discarded,It's not agrarian
264,Effects of offshore platforms on soft-bottom macro-benthic assemblages: A case study in a Mediterranean gas field,,,,,,,,,,,,,,,discarded,It's not agrarian
265,Disturbance-driven changes in the variability of ecological patterns and processes,,,,,,,,,,,,,,,discarded,It's not agrarian
266,Detection and Identification of Bacteria in an Isolated System with Near-Infrared Spectroscopy and Multivariate Analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
267,Isolating global and speciWc factors in developmental dyslexia: a study based on the rate and amount model (RAM),,,,,,,,,,,,,,,discarded,It's not agrarian
268,Detecting the effects of environmental change above the species level with beetles in a fragmented tropical rainforest landscape,,,,,,,,,,,,,,,discarded,It's not agrarian
269,Effective analysis of reaction time data,,,,,,,,,,,,,,,discarded,It's not agrarian
270,Quantitative assessment of the success of geochemical exploration techniques using minimum probability methods,,,,,,,,,,,,,,,discarded,It's not agrarian
271,Refining the definition of cultural levels at Karabi Tamchin: a quantitative approach to vertical intra-site spatial analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
272,Design and Analysis in Benthic Surveys,,,,,,,,,,,,,,,discarded,It's not agrarian
273,Key aspects of analysing microarray gene-expression data,,,,,,,,,,,,,,,discarded,It's not agrarian
274,The Influence of Time Interval between Bleaching and Enamel Bonding,,,,,,,,,,,,,,,discarded,It's not agrarian
275,Combining Quantitative Trait and Gene-Expression Data,,,,,,,,,,,,,,,discarded,It's not agrarian
276,Benthos Sediment Quality Assessments,,,,,,,,,,,,,,,discarded,It's not agrarian
277,Spatial and temporal changes in infaunal communities inhabiting soft-bottoms affected by brine discharge,,,,,,,,,,,,,,,discarded,It's not agrarian
278,Maternal melatonin stimulates growth and prevents maturation of the capuchin monkey fetal adrenal gland,,,,,,,,,,,,,,,discarded,It's not agrarian
279,Gene–Environment Interactions Fundamentals of Ecogenetics,,,,,,,,,,,,,,,discarded,book
280,Corticospinal facilitation during first and third person imagery,,,,,,,,,,,,,,,discarded,It's not agrarian
281,Cancer Diagnostics with DNA Microarrays,,,,,,,,,,,,,,,discarded,It's not agrarian
282,Classifying Eucalyptus forests with high spatial and spectral resolution imagery: an investigation of individual species and vegetation communities,,,,,,,,,,,,,,,discarded,Does not perform data transformation
283,Constraints on spatial variability in soft-sediment communities affected by contamination from an Antarctic waste disposal site,,,,,,,,,,,,,,,discarded,It's not agrarian
284,Wavelet variance components in image space for spatiotemporal neuroimaging data,,,,,,,,,,,,,,,discarded,It's not agrarian
285,EEG phase synchrony differences across visual perception conditions may depend on recording and analysis methods,,,,,,,,,,,,,,,discarded,It's not agrarian
286,Fitting Straight Lines with Replicated Observations by Linear Regression: Part II. Testing for Homogeneity of Variances,,,,,,,,,,,,,,,discarded,It's not agrarian
287,"One set of sounds, two tonotopic maps: exploring auditory cortex with amplitude-modulated tones",,,,,,,,,,,,,,,discarded,It's not agrarian
288,Neuronal Synchronization and Selective Color Processingin the Human Brain,,,,,,,,,,,,,,,discarded,It's not agrarian
289,Analysis of DNA Microarray Data,,,,,,,,,,,,,,,discarded,It's not agrarian
290,"A MANOVA STATISTIC IS JUST AS POWERFUL AS DISTANCE-BASED STATISTICS, FOR MULTIVARIATE ABUNDANCES",,,,,,,,,,,,,,,discarded,It's not agrarian
291,To Transform or Not Transform Skewed Data for Psychometric Analysis,,,,,,,,,,,,,,,discarded,It's not agrarian
292,Modern Robust Data Analysis Methods: Measures of Central Tendency,,,,,,,,,,,,,,,discarded,It's not agrarian
293,"Human impacts in soft-sediment assemblages at Casey Station, East Antarctica: Spatial variation, taxonomic resolution and data transformation",,,,,,,,,,,,,,,discarded,It's not agrarian
294,Statistical tests for differential expression in cDNA microarray experiments,,,,,,,,,,,,,,,discarded,It's not agrarian
295,Human impacts in Antartic marine soft-sediment assemblages: correlations between multivariate biological patterns and environmental variables at Casey Station,,,,,,,,,,,,,,,discarded,It's not agrarian
296,"A practical protocol to assess impacts of unplanned disturbance: a case study in Tuggerah Lakes Estuary, NSW",,,,,,,,,,,,,,,discarded,It's not agrarian
297,The effects of petroleum hydrocarbon and heavy metal contamination of marine sediments on recruitment of Antarctic soft-sediment assemblages: a field experimental investigation,,,,,,,,,,,,,,,discarded,It's not agrarian
